Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,System.Security.Cryptography.Pkcs 10.0.6,,,,,"System.Security.Cryptography.Pkcs, 10.0.6  Recomendación:  Remove System.Security.Cryptography.Pkcs, and replace with new package System.Security.Cryptography.Pkcs 10.0.7"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,System.Text.Encodings.Web 10.0.6,,,,,"System.Text.Encodings.Web, 10.0.6  Recomendación:  Remove System.Text.Encodings.Web, and replace with new package System.Text.Encodings.Web 10.0.7"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,System.Text.Json 10.0.6,,,,,"System.Text.Json, 10.0.6  Recomendación:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.7"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,System.Threading.Channels 10.0.6,,,,,"System.Threading.Channels, 10.0.6  Recomendación:  Remove System.Threading.Channels, and replace with new package System.Threading.Channels 10.0.7"
NuGet.0003,La funcionalidad del paquete NuGet se incluye con la referencia del marco,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,System.Threading.Tasks.Extensions 4.6.3,,,,,"System.Threading.Tasks.Extensions, 4.6.3  Recomendación:  Funcionalidad de paquete incluida con la nueva referencia de marco"
NuGet.0003,La funcionalidad del paquete NuGet se incluye con la referencia del marco,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,System.ValueTuple 4.6.2,,,,,"System.ValueTuple, 4.6.2  Recomendación:  Funcionalidad de paquete incluida con la nueva referencia de marco"
NuGet.0004,El paquete NuGet contiene una vulnerabilidad de seguridad.,Active,Optional,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,Newtonsoft.Json 9.0.1,,,,,"Newtonsoft.Json, 9.0.1  Recomendación:  Newtonsoft.Json, 13.0.4"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,SQLitePCLRaw.lib.e_sqlite3 2.1.11,,,,,"SQLitePCLRaw.lib.e_sqlite3, 2.1.11  Recomendación:  The ID of this package has changed to SourceGear.sqlite3. Remove SQLitePCLRaw.lib.e_sqlite3, and replace with new package SQLitePCLRaw.lib.e_sqlite3, 2.1.11"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,System.Collections.Immutable 1.7.1,,,,,"System.Collections.Immutable, 1.7.1  Recomendación:  Versions targeting out-of-support .NET versions Remove System.Collections.Immutable, and replace with new package System.Collections.Immutable, 10.0.7"
Project.0001,El archivo de proyecto debe convertirse al estilo SDK,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,,,,,,
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\TEST_IDENNA.csproj,,,,,,,,"Marco de destino actual: .NETFramework,Version=v4.8 Marco de destino recomendado: net10.0-windows"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\GeneratedInternalTypeHelper.g.cs,19,76,M:System.Windows.Markup.InternalTypeHelper.#ctor,,,,,InternalTypeHelper
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\GeneratedInternalTypeHelper.g.cs,19,76,T:System.Windows.Markup.InternalTypeHelper,,,,,InternalTypeHelper
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\Views\RegistrarBeneficiarioView.g.cs,58,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\Views\RegistrarBeneficiarioView.g.cs,58,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\Views\RegistrarBeneficiarioView.g.cs,55,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/TEST_IDENNA;component/views/registrarbeneficiarioview.xaml"", System.UriKind.Relative);"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\Views\RegistrarBeneficiarioView.g.cs,55,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/TEST_IDENNA;component/views/registrarbeneficiarioview.xaml"", System.UriKind.Relative);"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\Views\RegistrarBeneficiarioView.xaml.cs,22,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public RegistrarBeneficiarioView()          {              InitializeComponent();          }
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\Views\RegistrarBeneficiarioView.xaml.cs,22,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public RegistrarBeneficiarioView()          {              InitializeComponent();          }
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\Views\RegistrarBeneficiarioView.g.cs,41,112,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\Views\RegistrarBeneficiarioView.xaml.cs,20,53,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\ViewModels\MainWindowViewModel.cs,94,22,E:System.Windows.Input.CommandManager.RequerySuggested,,,,,CommandManager.RequerySuggested
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\ViewModels\MainWindowViewModel.cs,93,19,E:System.Windows.Input.CommandManager.RequerySuggested,,,,,CommandManager.RequerySuggested
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\ExpedientesView.xaml.cs,22,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public ExpedientesView()          {              InitializeComponent();          }
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\ExpedientesView.g.cs,58,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\ExpedientesView.g.cs,58,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\ExpedientesView.g.cs,55,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/TEST_IDENNA;component/expedientesview.xaml"", System.UriKind.Relative);"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\ExpedientesView.g.cs,55,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/TEST_IDENNA;component/expedientesview.xaml"", System.UriKind.Relative);"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\ExpedientesView.xaml.cs,22,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public ExpedientesView()          {              InitializeComponent();          }
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\ExpedientesView.g.cs,41,102,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\ExpedientesView.g.cs,41,67,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\BitacoraView.g.cs,57,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,TEST_IDENNA\TEST_IDENNA.csproj,File,TEST_IDENNA\obj\x86\Debug\BitacoraView.g.cs,57,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
